isogroup27701	Signal transduction mechanisms
isogroup27701	Extracellular structures
isogroup7118	Replication, recombination and repair
isogroup24377	Nucleotide transport and metabolism
isogroup40258	Transcription
isogroup40258	Replication, recombination and repair
isogroup36799	Posttranslational modification, protein turnover, chaperones
isogroup40800	Posttranslational modification, protein turnover, chaperones
isogroup13609	Chromatin structure and dynamics
isogroup15470	Posttranslational modification, protein turnover, chaperones
isogroup2276	Inorganic ion transport and metabolism
isogroup20028	Amino acid transport and metabolism
isogroup4249	Signal transduction mechanisms
isogroup19292	Signal transduction mechanisms
isogroup1372	Chromatin structure and dynamics
isogroup1372	Cell cycle control, cell division, chromosome partitioning
isogroup1200	Intracellular trafficking, secretion, and vesicular transport
isogroup9233	Intracellular trafficking, secretion, and vesicular transport
isogroup16005	Extracellular structures
isogroup10844	RNA processing and modification 
isogroup42829	Posttranslational modification, protein turnover, chaperones
isogroup44546	Chromatin structure and dynamics
isogroup42429	Signal transduction mechanisms
isogroup42429	Cell wall/membrane/envelope biogenesis
isogroup42429	Posttranslational modification, protein turnover, chaperones
isogroup13314	Signal transduction mechanisms
isogroup5590.1	Carbohydrate transport and metabolism
isogroup13854	Posttranslational modification, protein turnover, chaperones
isogroup20616	RNA processing and modification 
isogroup10084.1	Defense mechanisms
isogroup850	Cytoskeleton
isogroup5623	Posttranslational modification, protein turnover, chaperones
isogroup41809	Translation, ribosomal structure and biogenesis
isogroup39021	Extracellular structures
isogroup25444	Coenzyme transport and metabolism
isogroup6958	Amino acid transport and metabolism
isogroup10846	Intracellular trafficking, secretion, and vesicular transport
isogroup149	Cytoskeleton
isogroup16541	Signal transduction mechanisms
isogroup16541	Cytoskeleton
isogroup10299	Cell cycle control, cell division, chromosome partitioning
isogroup7049	Cytoskeleton
isogroup25899	Posttranslational modification, protein turnover, chaperones
isogroup1740	Replication, recombination and repair
isogroup13252	Defense mechanisms
isogroup44286	Transcription
isogroup20112	Posttranslational modification, protein turnover, chaperones
isogroup9921	Lipid transport and metabolism
isogroup22675	Intracellular trafficking, secretion, and vesicular transport
isogroup4039	Replication, recombination and repair
isogroup22138	Posttranslational modification, protein turnover, chaperones
isogroup10156	Posttranslational modification, protein turnover, chaperones
isogroup26385	Signal transduction mechanisms
isogroup26385	Inorganic ion transport and metabolism
isogroup18440	Signal transduction mechanisms
isogroup17702	Replication, recombination and repair
isogroup16672	Cytoskeleton
isogroup12559	Carbohydrate transport and metabolism
isogroup31276	Posttranslational modification, protein turnover, chaperones
isogroup1768	Signal transduction mechanisms
isogroup33243	Signal transduction mechanisms
isogroup18374	RNA processing and modification 
isogroup14981	Inorganic ion transport and metabolism
isogroup10185	Posttranslational modification, protein turnover, chaperones
isogroup5456	Intracellular trafficking, secretion, and vesicular transport
isogroup15314	Coenzyme transport and metabolism
isogroup21174	Cell cycle control, cell division, chromosome partitioning
isogroup2755	Posttranslational modification, protein turnover, chaperones
isogroup10644	Cytoskeleton
isogroup13341	Signal transduction mechanisms
isogroup11	Extracellular structures
isogroup7141	Amino acid transport and metabolism
isogroup2699	Signal transduction mechanisms
isogroup2699	Intracellular trafficking, secretion, and vesicular transport
isogroup7543	Transcription
isogroup7543	Signal transduction mechanisms
isogroup7543	Posttranslational modification, protein turnover, chaperones
isogroup16448	Energy production and conversion
isogroup18809	RNA processing and modification 
isogroup44950	Transcription
isogroup19918	Cell wall/membrane/envelope biogenesis
isogroup19918	Extracellular structures
isogroup45541	Signal transduction mechanisms
isogroup26643	Replication, recombination and repair
isogroup4189	Amino acid transport and metabolism
isogroup23616	Signal transduction mechanisms
isogroup42440	Signal transduction mechanisms
isogroup1507	Nucleotide transport and metabolism
isogroup2544	Cell wall/membrane/envelope biogenesis
isogroup14679	Transcription
isogroup12938	Chromatin structure and dynamics
isogroup4895	Translation, ribosomal structure and biogenesis
isogroup2702	Posttranslational modification, protein turnover, chaperones
isogroup3845	Signal transduction mechanisms
isogroup2126	Nucleotide transport and metabolism
isogroup3261	Lipid transport and metabolism
isogroup23001	Transcription
isogroup2899	Signal transduction mechanisms
isogroup2899	Intracellular trafficking, secretion, and vesicular transport
isogroup27977	Transcription
isogroup11947	Signal transduction mechanisms
isogroup38391	Cell wall/membrane/envelope biogenesis
isogroup38391	Posttranslational modification, protein turnover, chaperones
isogroup38391	Lipid transport and metabolism
isogroup24637	Transcription
isogroup7688	Signal transduction mechanisms
isogroup9179	Lipid transport and metabolism
isogroup12437	RNA processing and modification 
isogroup25088	Amino acid transport and metabolism
isogroup10099	Secondary metabolites biosynthesis, transport and catabolism
isogroup24775	Translation, ribosomal structure and biogenesis
isogroup38583	Signal transduction mechanisms
isogroup3015	Nuclear structure
isogroup5398	Signal transduction mechanisms
isogroup3632	Lipid transport and metabolism
isogroup691	Signal transduction mechanisms
isogroup23988	Posttranslational modification, protein turnover, chaperones
isogroup11547	RNA processing and modification 
isogroup1460	Signal transduction mechanisms
isogroup22717	Cell wall/membrane/envelope biogenesis
isogroup22717	Posttranslational modification, protein turnover, chaperones
isogroup22717	Lipid transport and metabolism
isogroup7714.1	Intracellular trafficking, secretion, and vesicular transport
isogroup8105	Cytoskeleton
isogroup16611	Replication, recombination and repair
isogroup231	Signal transduction mechanisms
isogroup4626	Signal transduction mechanisms
isogroup23326	Transcription
isogroup31569	Signal transduction mechanisms
isogroup20389	Transcription
isogroup20389	Chromatin structure and dynamics
isogroup32481	Cytoskeleton
isogroup41121	Posttranslational modification, protein turnover, chaperones
isogroup27772	Signal transduction mechanisms
isogroup7044	Transcription
isogroup10904	Amino acid transport and metabolism
isogroup46320	Signal transduction mechanisms
isogroup11170	Intracellular trafficking, secretion, and vesicular transport
isogroup3905	Extracellular structures
isogroup16235	Extracellular structures
isogroup1259	Inorganic ion transport and metabolism
isogroup4740	Secondary metabolites biosynthesis, transport and catabolism
isogroup4251	Nucleotide transport and metabolism
isogroup1401	Posttranslational modification, protein turnover, chaperones
isogroup46405	Nuclear structure
isogroup46405	Intracellular trafficking, secretion, and vesicular transport
isogroup14007	Transcription
isogroup21742	Posttranslational modification, protein turnover, chaperones
isogroup32002	Secondary metabolites biosynthesis, transport and catabolism
isogroup20717	Transcription
isogroup24316	Posttranslational modification, protein turnover, chaperones
isogroup7500	Amino acid transport and metabolism
isogroup21104	Lipid transport and metabolism
isogroup20871.1	Translation, ribosomal structure and biogenesis
isogroup2816	Transcription
isogroup2816	Chromatin structure and dynamics
isogroup4429	Signal transduction mechanisms
isogroup10145	Signal transduction mechanisms
isogroup17808	Carbohydrate transport and metabolism
isogroup637	RNA processing and modification 
isogroup5331	Signal transduction mechanisms
isogroup8365	Posttranslational modification, protein turnover, chaperones
isogroup5817	Signal transduction mechanisms
isogroup37599	Transcription
isogroup13447	Amino acid transport and metabolism
isogroup17535	Signal transduction mechanisms
isogroup29043	Amino acid transport and metabolism
isogroup1761	Signal transduction mechanisms
isogroup3246	Nuclear structure
isogroup14401	Cell motility
isogroup17917	Replication, recombination and repair
isogroup2391	Cell cycle control, cell division, chromosome partitioning
isogroup12123	Intracellular trafficking, secretion, and vesicular transport
isogroup12123	Posttranslational modification, protein turnover, chaperones
isogroup26437	Translation, ribosomal structure and biogenesis
isogroup24581	Intracellular trafficking, secretion, and vesicular transport
isogroup8036	Posttranslational modification, protein turnover, chaperones
isogroup595	Replication, recombination and repair
isogroup17420	Posttranslational modification, protein turnover, chaperones
isogroup15303	Posttranslational modification, protein turnover, chaperones
isogroup4605	Cytoskeleton
isogroup2467	Posttranslational modification, protein turnover, chaperones
isogroup26894	Carbohydrate transport and metabolism
isogroup37590	Posttranslational modification, protein turnover, chaperones
isogroup7496	Carbohydrate transport and metabolism
isogroup29045	Posttranslational modification, protein turnover, chaperones
isogroup9949	Extracellular structures
isogroup6996.1	Transcription
isogroup24734	Cytoskeleton
isogroup35596	Cell wall/membrane/envelope biogenesis
isogroup189	Signal transduction mechanisms
isogroup189	Inorganic ion transport and metabolism
isogroup11844	Signal transduction mechanisms
isogroup23488	Posttranslational modification, protein turnover, chaperones
isogroup2805	Intracellular trafficking, secretion, and vesicular transport
isogroup2805	Amino acid transport and metabolism
isogroup9165	Transcription
isogroup9165	Chromatin structure and dynamics
isogroup17436	Replication, recombination and repair
isogroup17158	RNA processing and modification 
isogroup2665	Lipid transport and metabolism
isogroup7293	Coenzyme transport and metabolism
isogroup6684	Coenzyme transport and metabolism
isogroup6779	Nuclear structure
isogroup8352	Secondary metabolites biosynthesis, transport and catabolism
